Line Ref. No.,Billing Organization,NYISO Name,Zone,PTID,Town,County,State,In-Service Date,Name Plate Rating (MW),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Dual Fuel,Unit Type,Fuel Type (primary),Fuel Type (secondary),2018 Net Energy (GWh),Latitude,Longitude
R1362,"Consolidated Edison Co. of NY, Inc.",Hudson Ave 4,J,23540,Brooklyn,47,36,07/01/1970,16.3,13.9,18.2,0,0,,Combustion Turbine,Kerosene,,0.1,40.7052,-73.9807
R1089,"Consolidated Edison Co. of NY, Inc.",Hudson Ave 5,J,23657,Brooklyn,47,36,07/01/1970,16.3,15.1,19.7,14.7,19,,Combustion Turbine,Kerosene,,0.2,40.7052,-73.9807
R1688,Long Island Power Authority,Huntington (RR),K,323705,Huntington,103,36,12/01/1991,28,24.7,24.7,24,24.1,,Steam Turbine,Refuse,,188.8,,
R1689,Niagara Mohawk Power Corp.,Hydrocarbon-Algny,A,23774,Allegany,3,36,12/01/1992,0.2,0,0,0,0,,Internal Combustion,Natural Gas,,0,,
R1499,"Innovative Energy Systems, Inc.",Hyland LFGE,B,323620,Angelica,3,36,09/08/2008,4.8,4.8,4.8,4.8,4.8,,Internal Combustion,Methane,,36.1,,
R1364,Orange and Rockland Utilities,Intl. Crossroads,G,5056,Mahwah NJ,3,34,12/01/1987,3,0,0,0,0,YES,Internal Combustion,Natural Gas,Fuel Oil 2,0,,
R1450,Long Island Power Authority,Islip (RR),K,323679,Ronkonkoma,103,36,03/01/1990,12.5,11.2,11.2,8.3,8.5,,Steam Turbine,Refuse,,55.7,,
R1363,Niagara Mohawk Power Corp.,Laidlaw Energy,A,23774,Ellicottville,9,36,07/01/1991,3.4,0,0,0,0,,Combustion Turbine,Natural Gas,,0,,
R1365,Niagara Mohawk Power Corp.,Laidlaw Energy,A,23774,Ellicottville,9,36,07/01/1991,2.4,0,0,0,0,,Steam Turbine,Natural Gas,,0,,
R1686,Orange and Rockland Utilities,Landfill G.Part19,G,5057,Goshen,71,36,12/01/1988,2.5,0,0,0,0,,Internal Combustion,Methane,,0,,
R1449,"Lyonsdale Biomass, LLC",Lyonsdale  (IIFO - 4/1/18),E,23803,Lyonsdale,49,36,08/01/1992,21.1,20.2,20.2,0,0,,Steam Turbine,Wood,,0,,
R1112,"Exelon Generation Company, LLC",Madison County LF,E,323628,Wampsville,53,36,03/01/2010,1.6,1.6,1.6,1.6,1.6,,Internal Combustion,Methane,,4.5,,
R1684,Orange and Rockland Utilities,Middletown LFG,G,5058,Goshen,71,36,12/01/1988,3,0,0,0,0,,Internal Combustion,Methane,,0,,
R1685,"Exelon Generation Company, LLC",Mill Seat,B,323607,Riga,55,36,07/20/2007,6.4,6.4,6.4,6.4,6.4,,Internal Combustion,Methane,,52.8,,
R1683,Model City Energy LLC,Model City Energy,A,24167,Lewiston,63,36,06/01/2001,5.6,5.6,5.6,5.6,5.6,,Internal Combustion,Methane,,39.5,,
R1336,"Modern Innovative Energy, LLC",Modern LF,A,323580,Lewiston,63,36,02/01/2006,6.4,6.4,6.4,6.4,6.4,,Internal Combustion,Methane,,19.9,,
