NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Holtsville 05",23694,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,2,0.175,1.75,5.25,10.5,17.223693137582,1.80494661327996,0.970124277938349,-0.051327548491071,18.0315925186195,-0.657748135743089,0.969822337899158,1
"Holtsville 06",23695,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,2,0.175,1.75,5.25,10.5,17.223693137582,1.80494661327996,0.970124277938349,-0.051327548491071,18.0315925186195,-0.657748135743089,0.969822337899158,1
"Holtsville 07",23696,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.208333333333333,2.08333333333333,6.25,12.5,18.0187308952393,-1.20926590691768,0.97282033080278,0.121448303545143,16.088149687752,3.38867552158653,0.973090172759186,1
"Holtsville 08",23697,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.208333333333333,2.08333333333333,6.25,12.5,18.0227644403742,-1.25614574475043,0.972073425024008,0.123112531474463,16.0542162425749,3.53859891665391,0.972349019300512,1
"Holtsville 09",23698,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333333333,2.08333333333333,6.25,12.5,17.4689538521412,-0.244622569491238,0.976411299896168,0.0218047749040451,17.1761212769817,0.272029866077022,0.97597965664547,1
"Holtsville 10",23699,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333333333,2.08333333333333,6.25,12.5,17.4689538521412,-0.244622569491238,0.976411299896168,0.0218047749040451,17.1761212769817,0.272029866077022,0.97597965664547,1
"Barrett GT 01",23704,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.6697310474324,5.28732325349511,0.985582554594953,-0.196433398784829,19.7590353710296,-7.04450268351237,0.989926552887177,1
"Barrett GT 02",23705,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.6697310474324,5.28732325349511,0.985582554594953,-0.196433398784829,19.7590353710296,-7.04450268351237,0.989926552887177,1
"Barrett 03",23706,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24,1,0.35,3.5,10.5,21,15.6841222272309,5.81192347147942,0.981602404673471,-0.18846330448633,19.7741808181199,-8.28752912086473,0.985740621231626,1
"Barrett 04",23707,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24,1,0.35,3.5,10.5,21,15.6841222272309,5.81192347147942,0.981602404673471,-0.18846330448633,19.7741808181199,-8.28752912086473,0.985740621231626,1
"Barrett 05",23708,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.6101478107631,4.07382942785786,0.98529002623385,-0.180597180493242,19.309979294527,-6.66786610914878,0.988551020904194,1
"Barrett 06",23709,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22,1,0.325,3.25,9.75,19.5,15.6101478107631,4.07382942785786,0.98529002623385,-0.180597180493242,19.309979294527,-6.66786610914878,0.988551020904194,1
"Barrett 08",23711,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,23,2,0.35,3.5,10.5,21,15.3233296308635,6.14736238240861,0.982135758904093,-0.171200653509155,19.3059560214739,-9.27311754950108,0.985578173749552,1
"West Babylon 4",23714,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,65,7.5,0.808333333333333,8.08333333333333,24.25,48.5,13.1431920014313,24.1624144611413,0.985445675886863,-0.0743296438831767,18.1565727793631,-45.5867208335436,0.991152192858034,1
"Freeport CT 1",23764,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,50,26,0.583333333333333,5.83333333333333,17.5,35,23.249293636798,-663.271190644283,0.854047355207257,0.550804658725722,-21.7861905888757,235.038554062939,0.871500799816686,1
