fid,NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,HubName,HubDist
93,Astoria GT 3-4,24101,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
94,Astoria GT 4-1,24102,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
95,Astoria GT 4-2,24103,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
96,Astoria GT 4-3,24104,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
97,Astoria GT 4-4,24105,J,Jet Engine,Kerosene,40.7864,-73.9133,82,12.02713368
98,59 St.  GT 1,24138,J,Combustion Turbine,Kerosene,40.772385,-73.993028,82,11.57829482
99,74 St.  GT 1,24260,J,Combustion Turbine,Kerosene,40.768421,-73.951731,82,10.06557069
100,74 St.  GT 2,24261,J,Combustion Turbine,Kerosene,40.768421,-73.951731,82,10.06557069
101,Arthur Kill Cogen,323718,J,Internal Combustion,Natural Gas,40.5915,-74.2027,82,24.87856242
102,Arthur Kill GT 1,23520,J,Combustion Turbine,Natural Gas,40.5915,-74.2027,82,24.87856242
103,Astoria GT 01,23523,J,Combustion Turbine,Natural Gas,40.7864,-73.9133,82,12.02713368
104,Gowanus 1-1,24077,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
105,Gowanus 1-2,24078,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
106,Gowanus 1-3,24079,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
107,Gowanus 1-4,24080,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
108,Gowanus 1-5,24084,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
109,Gowanus 1-6,24111,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
110,Gowanus 1-7,24112,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
111,Gowanus 2-1,24114,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
112,Gowanus 2-2,24115,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
113,Gowanus 2-3,24116,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
114,Gowanus 2-4,24117,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
115,Gowanus 2-5,24118,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
116,Gowanus 2-6,24119,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
117,Gowanus 2-7,24120,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
118,Gowanus 2-8,24121,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
119,Gowanus 3-1,24122,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
120,Gowanus 3-2,24123,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
121,Gowanus 3-3,24124,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
122,Gowanus 3-4,24125,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
123,Gowanus 3-5,24126,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
124,Gowanus 3-6,24127,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
125,Gowanus 3-7,24128,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
126,Gowanus 3-8,24129,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
127,Gowanus 4-1,24130,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
128,Gowanus 4-2,24131,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
129,Gowanus 4-3,24132,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
130,Gowanus 4-4,24133,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
131,Gowanus 4-5,24134,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
132,Gowanus 4-6,24135,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
133,Gowanus 4-8,24137,J,Combustion Turbine,Fuel Oil 2,40.6635,-74.0051,82,6.417512627
134,Hudson Ave 3,23810,J,Combustion Turbine,Kerosene,40.7052,-73.9807,82,5.039233259
135,Hudson Ave 4,23540,J,Combustion Turbine,Kerosene,40.7052,-73.9807,82,5.039233259
136,Hudson Ave 5,23657,J,Combustion Turbine,Kerosene,40.7052,-73.9807,82,5.039233259
137,Narrows 1-1,24228,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
138,Narrows 1-2,24229,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
139,Narrows 1-3,24230,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
140,Narrows 1-4,24231,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
141,Narrows 1-5,24232,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
142,Narrows 1-6,24233,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
143,Narrows 1-7,24234,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
144,Narrows 1-8,24235,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
145,Narrows 2-1,24236,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
146,Narrows 2-2,24237,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
147,Narrows 2-3,24238,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
148,Narrows 2-4,24239,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
149,Narrows 2-5,24240,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
150,Narrows 2-6,24241,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
151,Narrows 2-7,24242,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
152,Narrows 2-8,24243,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,82,8.237081198
153,Ravenswood 01,23729,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,82,8.893968189
154,Ravenswood 10,24258,J,Jet Engine,Kerosene,40.7585,-73.9451,82,8.893968189
155,Ravenswood 11,24259,J,Jet Engine,Kerosene,40.7585,-73.9451,82,8.893968189
156,Wading River 1,23522,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,80,25.37866403
157,Barrett ST 01,23545,K,Steam Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
158,Barrett ST 02,23546,K,Steam Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
159,Wading River 2,23547,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,80,25.37866403
195,Shoreham GT4,24214,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,80,26.22030789
207,Wading River 3,23601,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,80,25.37866403
208,Shoreham GT3,24213,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,80,26.22030789
223,Northport GT,23718,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,80,18.36181122
224,S Hampton 1,23720,K,Combustion Turbine,Fuel Oil 2,40.899997,-72.381977,80,64.53751937
225,Shoreham 1,23715,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,80,26.22030789
166,Glenwood GT 02,23688,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,79,17.85369544
167,Glenwood GT 03,23689,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,79,17.85369544
227,Southold 1,23719,K,Combustion Turbine,Fuel Oil 2,41.1059,-72.3761,80,70.58789468
217,East Hampton 2,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,80,79.69007519
218,East Hampton 3,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,80,79.69007519
219,East Hampton 4,23722,K,Internal Combustion,Fuel Oil 2,40.961706,-72.210277,80,79.69007519
168,Holtsville 01,23690,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
169,Holtsville 02,23691,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
170,Holtsville 03,23692,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
171,Holtsville 04,23693,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
172,Holtsville 05,23694,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
173,Holtsville 06,23695,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
178,Barrett GT 01,23704,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
179,Barrett GT 02,23705,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
180,Barrett 03,23706,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
181,Barrett 04,23707,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
182,Barrett 05,23708,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
183,Barrett 06,23709,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
184,Barrett 08,23711,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,79,21.00410283
185,West Babylon 4,23714,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,79,11.26133596
186,Freeport CT 1,23764,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,79,14.11169023
174,Holtsville 07,23696,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
175,Holtsville 08,23697,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
189,Far Rockaway GT2,23815,K,Jet Engine,Kerosene,40.6106,-73.7614,79,29.10705625
190,Freeport CT 2,23818,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,79,14.11169023
191,Bethpage,23823,K,Combined Cycle,Natural Gas,40.7469,-73.4994,79,2.840953432
176,Holtsville 09,23698,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
177,Holtsville 10,23699,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,80,7.78216546
188,Greenport GT1,23814,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,80,70.52842874
220,East Hampton GT 01,23717,K,Jet Engine,Fuel Oil 2,40.961706,-72.210277,80,79.69007519
226,Shoreham 2,23716,K,Jet Engine,Fuel Oil 2,40.9572,-72.8664,80,26.22030789
163,Port Jefferson 3,23555,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,80,12.26666528
198,Glenwood GT 04,24219,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,79,17.88040338
199,Glenwood GT 05,24220,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,79,17.88040338
200,Pinelawn Power 1,323563,K,Combined Cycle,Natural Gas,40.7358,-73.3881,79,6.646901739
201,Bethpage 3,323564,K,Combined Cycle,Natural Gas,40.7469,-73.4994,79,2.840953432
202,Bethpage GT4,323586,K,Combustion Turbine,Natural Gas,40.7469,-73.4994,79,2.840953432
164,Port Jefferson 4,23616,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,80,12.26666528
