NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Jamestown 5",1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,28.7,0,0.478333333333333,4.78333333333333,14.35,28.7,10.347,0,0,0,0,0,0,0
"Jamestown 6",1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,25,0,0.416666666666667,4.16666666666667,12.5,25,10.347,0,0,0,0,0,0,0
"Narrows 1-1",24228,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-2",24229,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-3",24230,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-4",24231,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-5",24232,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-6",24233,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-7",24234,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 1-8",24235,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-1",24236,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-2",24237,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-3",24238,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-4",24239,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-5",24240,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-6",24241,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-7",24242,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Narrows 2-8",24243,J,Combustion Turbine,Fuel Oil 2,40.648611,-74.020833,22,0,0.366666666666667,3.66666666666667,11,22,13.315,0,0,0,0,0,0,0
"Northport GT",23718,K,Combustion Turbine,Fuel Oil 2,40.9231,-73.3417,16,0,0.266666666666667,2.66666666666667,8,16,13.315,0,0,0,0,0,0,0
"Ravenswood 01",23729,J,Combustion Turbine,Natural Gas,40.7585,-73.9451,18.6,0,0.31,3.1,9.3,18.6,11.098,0,0,0,0,0,0,0
"Ravenswood 10",24258,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666666666667,4.16666666666667,12.5,25,13.315,0,0,0,0,0,0,0
"Ravenswood 11",24259,J,Jet Engine,Kerosene,40.7585,-73.9451,25,0,0.416666666666667,4.16666666666667,12.5,25,13.315,0,0,0,0,0,0,0
"S Hampton 1",23720,K,Combustion Turbine,Fuel Oil 2,40.899997,-72.381977,11.5,0,0.191666666666667,1.91666666666667,5.75,11.5,13.315,0,0,0,0,0,0,0
"Shoreham 1",23715,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,52.9,0,0.881666666666667,8.81666666666667,26.45,52.9,13.315,0,0,0,0,0,0,0
"Shoreham 2",23716,K,Jet Engine,Fuel Oil 2,40.9572,-72.8664,18.6,0,0.31,3.1,9.3,18.6,13.315,0,0,0,0,0,0,0
"South Cairo",23612,G,Combustion Turbine,Kerosene,42.291275,-73.986452,21.6,0,0.36,3.6,10.8,21.6,13.315,0,0,0,0,0,0,0
"Southold 1",23719,K,Combustion Turbine,Fuel Oil 2,41.1059,-72.3761,14,0,0.233333333333333,2.33333333333333,7,14,13.315,0,0,0,0,0,0,0
"St. Elizabeth Medical Center",23633,E,Internal Combustion,Natural Gas,43.082104,-75.2661,0.6,0,0.01,0.1,0.3,0.6,8.899,0,0,0,0,0,0,0
