month,day,hour,FuelCategory,GroupCount,mean_TimeStamp,mean_GenMW
1,1,17,Dual Fuel,12,01/01/2019 17:27:30,2964.25
1,1,17,Hydro,12,01/01/2019 17:27:30,4167.33333333333
1,1,17,Natural Gas,12,01/01/2019 17:27:30,2264.5
1,1,17,Nuclear,12,01/01/2019 17:27:30,5430.5
1,1,17,Other Fossil Fuels,12,01/01/2019 17:27:30,0
1,1,17,Other Renewables,12,01/01/2019 17:27:30,276.916666666667
1,1,17,Wind,12,01/01/2019 17:27:30,683.166666666667
1,1,18,Dual Fuel,12,01/01/2019 18:27:30,3304.66666666667
1,1,18,Hydro,12,01/01/2019 18:27:30,3967.25
1,1,18,Natural Gas,12,01/01/2019 18:27:30,2289.91666666667
1,1,18,Nuclear,12,01/01/2019 18:27:30,5430.58333333333
1,1,18,Other Fossil Fuels,12,01/01/2019 18:27:30,0
1,1,18,Other Renewables,12,01/01/2019 18:27:30,273.25
1,1,18,Wind,12,01/01/2019 18:27:30,431.416666666667
1,1,19,Dual Fuel,12,01/01/2019 19:27:30,3074.5
1,1,19,Hydro,12,01/01/2019 19:27:30,3730.41666666667
1,1,19,Natural Gas,12,01/01/2019 19:27:30,2288.33333333333
1,1,19,Nuclear,12,01/01/2019 19:27:30,5430.83333333333
1,1,19,Other Fossil Fuels,12,01/01/2019 19:27:30,0
1,1,19,Other Renewables,12,01/01/2019 19:27:30,273.666666666667
1,1,19,Wind,12,01/01/2019 19:27:30,287.083333333333
1,1,20,Dual Fuel,12,01/01/2019 20:27:30,3015.58333333333
1,1,20,Hydro,12,01/01/2019 20:27:30,3531.08333333333
1,1,20,Natural Gas,12,01/01/2019 20:27:30,2276
1,1,20,Nuclear,12,01/01/2019 20:27:30,5432.83333333333
1,1,20,Other Fossil Fuels,12,01/01/2019 20:27:30,0
1,1,20,Other Renewables,12,01/01/2019 20:27:30,279.25
1,1,20,Wind,12,01/01/2019 20:27:30,203.75
1,1,21,Dual Fuel,12,01/01/2019 21:27:30,2804.41666666667
1,1,21,Hydro,12,01/01/2019 21:27:30,3647.91666666667
1,1,21,Natural Gas,12,01/01/2019 21:27:30,2044.83333333333
1,1,21,Nuclear,12,01/01/2019 21:27:30,5432.08333333333
1,1,21,Other Fossil Fuels,12,01/01/2019 21:27:30,0
1,1,21,Other Renewables,12,01/01/2019 21:27:30,277.083333333333
1,1,21,Wind,12,01/01/2019 21:27:30,153.166666666667
1,1,22,Dual Fuel,12,01/01/2019 22:27:30,2226.83333333333
1,1,22,Hydro,12,01/01/2019 22:27:30,3603.91666666667
1,1,22,Natural Gas,12,01/01/2019 22:27:30,1707.08333333333
1,1,22,Nuclear,12,01/01/2019 22:27:30,5427.66666666667
1,1,22,Other Fossil Fuels,12,01/01/2019 22:27:30,0
1,1,22,Other Renewables,12,01/01/2019 22:27:30,281.166666666667
1,1,22,Wind,12,01/01/2019 22:27:30,139.416666666667
1,1,23,Dual Fuel,12,01/01/2019 23:27:30,1907
1,1,23,Hydro,12,01/01/2019 23:27:30,3548
1,1,23,Natural Gas,12,01/01/2019 23:27:30,1412.58333333333
1,1,23,Nuclear,12,01/01/2019 23:27:30,5425.91666666667
1,1,23,Other Fossil Fuels,12,01/01/2019 23:27:30,0
1,1,23,Other Renewables,12,01/01/2019 23:27:30,285
1,1,23,Wind,12,01/01/2019 23:27:30,140.833333333333
1,2,0,Dual Fuel,11,01/02/2019 00:30:00,1891
1,2,0,Hydro,11,01/02/2019 00:30:00,3327.09090909091
1,2,0,Natural Gas,11,01/02/2019 00:30:00,1390
1,2,0,Nuclear,11,01/02/2019 00:30:00,5420.45454545455
1,2,0,Other Fossil Fuels,11,01/02/2019 00:30:00,0
1,2,0,Other Renewables,11,01/02/2019 00:30:00,281.272727272727
1,2,0,Wind,11,01/02/2019 00:30:00,120
1,2,1,Dual Fuel,12,01/02/2019 01:27:30,1919.25
1,2,1,Hydro,12,01/02/2019 01:27:30,3417.66666666667
1,2,1,Natural Gas,12,01/02/2019 01:27:30,1390.83333333333
1,2,1,Nuclear,12,01/02/2019 01:27:30,5426.25
1,2,1,Other Fossil Fuels,12,01/02/2019 01:27:30,0
1,2,1,Other Renewables,12,01/02/2019 01:27:30,280.333333333333
1,2,1,Wind,12,01/02/2019 01:27:30,89
1,2,2,Dual Fuel,12,01/02/2019 02:27:30,1896.33333333333
1,2,2,Hydro,12,01/02/2019 02:27:30,3095.58333333333
1,2,2,Natural Gas,12,01/02/2019 02:27:30,1366.75
1,2,2,Nuclear,12,01/02/2019 02:27:30,5426.91666666667
1,2,2,Other Fossil Fuels,12,01/02/2019 02:27:30,0
1,2,2,Other Renewables,12,01/02/2019 02:27:30,280.333333333333
1,2,2,Wind,12,01/02/2019 02:27:30,67
1,2,3,Dual Fuel,12,01/02/2019 03:27:30,1902.16666666667
1,2,3,Hydro,12,01/02/2019 03:27:30,3149.5
1,2,3,Natural Gas,12,01/02/2019 03:27:30,1396.83333333333
1,2,3,Nuclear,12,01/02/2019 03:27:30,5426.5
1,2,3,Other Fossil Fuels,12,01/02/2019 03:27:30,0
1,2,3,Other Renewables,12,01/02/2019 03:27:30,283.25
1,2,3,Wind,12,01/02/2019 03:27:30,59.5833333333333
1,2,4,Dual Fuel,12,01/02/2019 04:27:30,1985.33333333333
1,2,4,Hydro,12,01/02/2019 04:27:30,3109
1,2,4,Natural Gas,12,01/02/2019 04:27:30,1495
1,2,4,Nuclear,12,01/02/2019 04:27:30,5423.91666666667
1,2,4,Other Fossil Fuels,12,01/02/2019 04:27:30,0
